id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2680431,de90ef03-f926-4690-8c0f-32f566724bb9,Sat Feb 13 2016 14:52:07 GMT+1300 (GMT+13),2016-02-13,2016-02-13 01:52:07 UTC,Nuku'alofa,171728,waynemcdougall,"",2016-02-14 06:10:27 UTC,2016-06-25 08:40:39 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/2680431,https://inaturalist-open-data.s3.amazonaws.com/photos/3012057/medium.jpg,,,,2,0,false,3,"Owen G Glenn Building, Auckland, Auckland, NZ",-36.8531,174.77098,,,,,,,open,false,,,Australian Magpie,Gymnorhina tibicen,澳洲钟鹊,Aves,8575
6409213,ff003fab-6d0e-42e8-9267-9b2ca966ebf0,Mon May 29 2017 12:03:00 GMT+1200 (GMT+12),2017-05-29,2017-05-29 00:03:00 UTC,Auckland,318550,leafveiled,"",2017-05-29 00:13:04 UTC,2025-05-18 03:27:26 UTC,research,CC-BY,https://www.inaturalist.org/observations/6409213,https://inaturalist-open-data.s3.amazonaws.com/photos/8086684/medium.jpg,,"",,2,0,false,3,"Owen G Glenn Building, Auckland, Auckland, NZ",-36.8528133333,174.7713,,,,,,,open,false,,,Blackbird,Turdus merula,Common Blackbird,Aves,12716
7114851,13ec55b2-d8f3-48cf-ba7c-d2733ebe4952,Wed Jul 19 2017 16:45:17 GMT+1200 (GMT+12),2017-07-19,2017-07-19 04:45:17 UTC,Auckland,330521,jsimons,"",2017-07-19 08:54:35 UTC,2017-07-19 09:01:19 UTC,research,CC0,https://www.inaturalist.org/observations/7114851,https://inaturalist-open-data.s3.amazonaws.com/photos/9150553/medium.jpg,,"",,1,0,false,3,"Old Choral Hall, Auckland, Auckland, NZ",-36.8512443934,174.7702356366,161,,,,161,,open,false,,,Mainland Tui,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
7550147,959a93c2-2135-480b-8d95-b6dab619c154,2017/08/18 3:21 PM NZST,2017-08-18,2017-08-18 03:21:00 UTC,Wellington,422351,kererukade,KereruKade,2017-08-19 01:50:57 UTC,2022-05-23 11:45:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7550147,https://inaturalist-open-data.s3.amazonaws.com/photos/9854188/medium.jpeg,,"",,2,0,false,,"Auckland, 1010, New Zealand",-36.850444897,174.7710335255,30,,,,30,,open,false,,,Australian Magpie,Gymnorhina tibicen,澳洲钟鹊,Aves,8575
7628545,81e4c593-ae2d-472e-b45f-c7750362746b,2017/08/24 2:00 PM NZST,2017-08-24,2017-08-24 02:00:00 UTC,Wellington,422351,kererukade,KereruKade,2017-08-24 07:36:57 UTC,2024-04-20 04:23:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7628545,https://inaturalist-open-data.s3.amazonaws.com/photos/9974966/medium.jpeg,,"",,2,0,false,,"Auckland, 1010, New Zealand",-36.8511317142,174.770405888,18,,,,18,,open,false,,,Tūī (Mainland Tūī),Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
7628552,e6ef83aa-bc5a-4dad-9c57-ebd62925d4e6,2017/08/24 4:34 PM NZST,2017-08-24,2017-08-24 04:34:00 UTC,Wellington,422351,kererukade,KereruKade,2017-08-24 07:38:52 UTC,2022-05-23 11:44:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7628552,https://inaturalist-open-data.s3.amazonaws.com/photos/9974976/medium.jpeg,,"",,3,0,false,,"Auckland, 1010, New Zealand",-36.8510802031,174.770416617,18,,,,18,,open,false,,,Merlo,Turdus merula,Common Blackbird,Aves,12716
7628556,00b5c085-3c8b-4048-89da-06d8da1ad15c,2017/08/24 5:14 PM NZST,2017-08-24,2017-08-24 05:14:00 UTC,Wellington,422351,kererukade,KereruKade,2017-08-24 07:39:54 UTC,2024-06-12 23:41:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7628556,https://inaturalist-open-data.s3.amazonaws.com/photos/9974983/medium.jpeg,,"","",2,0,false,,"Auckland, 1010, New Zealand",-36.8498052929,174.7697246075,18,,,,18,,open,false,,,Silvereye,Zosterops lateralis lateralis,Silvereye,Aves,413547
7628649,e4f1e62d-b256-48be-a609-f3a7f96cca68,2017/08/24 5:25 PM NZST,2017-08-24,2017-08-24 05:25:00 UTC,Wellington,422351,kererukade,KereruKade,2017-08-24 08:16:34 UTC,2022-05-23 11:43:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7628649,https://inaturalist-open-data.s3.amazonaws.com/photos/9975183/medium.jpeg,,"",,1,0,false,,"Auckland, 1010, New Zealand",-36.8506552354,174.7702181339,15,,,,15,,open,false,,,Eastern Rosella,Platycercus eximius,东澳玫瑰鹦鹉,Aves,18920
8258961,39cd1d8f-4eeb-479e-ac79-4e02bcd7ed51,Wed Oct 04 2017 13:19:34 GMT+1300 (GMT+13),2017-10-04,2017-10-04 00:19:34 UTC,Nuku'alofa,318550,leafveiled,"",2017-10-04 21:16:46 UTC,2025-02-01 20:14:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/8258961,https://inaturalist-open-data.s3.amazonaws.com/photos/10952789/medium.jpg,,"",,1,0,false,3,"Kate Edgar Information Commons, Auckland, Auckland, NZ",-36.8523966667,174.7696383333,,,,,,,open,false,,,House Sparrow,Passer domesticus,家麻雀,Aves,13858
8857333,99dc5e68-9c5e-4eb1-ab23-9505c65310a9,2017-11-19 4:39:22 PM NZDT,2017-11-19,2017-11-19 03:39:22 UTC,Wellington,201141,kinow,Bruno P. Kinoshita,2017-11-19 03:40:51 UTC,2022-05-23 11:43:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8857333,https://inaturalist-open-data.s3.amazonaws.com/photos/11905743/medium.jpeg,,"",,2,0,false,2,"12 Princes St, Auckland, 1010, New Zealand",-36.8496954599,174.7699979893,6,,,,6,,open,false,,,Australian Magpie,Gymnorhina tibicen,澳洲钟鹊,Aves,8575
